Location	alt_Name	latitude	longitude	lat_long	altitude_span	altitude	SOIUSA	SOIUSA_Grande_Parte	SOIUSA_Grande_Settore	SOIUSA_Sezione	SOIUSA_Sottosezione	SOIUSA_Supergruppo	SOIUSA_Gruppo	SOIUSA_Sottogruppo	SOIUSA_Codice
Cima Cunturines		46.575952	11.977923	46.575952,11.977923	3000	3064	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Sesto, di Braies e d'Ampezzo > Dolomiti Orientali di Badia > Gruppo delle Cunturines	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Sesto, di Braies e d'Ampezzo	Dolomiti Orientali di Badia	Gruppo delle Cunturines		II/C-31.I-C.12
Cima Mondini		44.199444	7.316389	44.199444,7.316389	2500	2915	Alpi Occidentali > Alpi Sud-occidentali > Alpi Marittime e Prealpi di Nizza > Alpi Marittime > Catena Argentera-Pépoiri-Matto > Gruppo dell'Argentera > Catena dell'Oriol	Alpi Occidentali	Alpi Sud-occidentali	Alpi Marittime e Prealpi di Nizza	Alpi Marittime	Catena Argentera-Pépoiri-Matto	Gruppo dell'Argentera	Catena dell'Oriol	I/A-2.1-B.6.b
Cima Presanella		46.219444	10.664167	46.219444,10.664167	3500	3557	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Alpi dell'Adamello e della Presanella > Gruppo della Presanella > Massiccio della Presanella > Crinale di Stavel	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Alpi dell'Adamello e della Presanella	Gruppo della Presanella	Massiccio della Presanella	Crinale di Stavel	II/C-28.III-B.4.b
Cima Una		46.639167	12.348056	46.639167,12.348056	2500	2698	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Sesto, di Braies e d'Ampezzo > Dolomiti di Sesto > Gruppo Paterno-Cima Una > Nodo della Cima Una	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Sesto, di Braies e d'Ampezzo	Dolomiti di Sesto	Gruppo Paterno-Cima Una	Nodo della Cima Una	II/C-31.I-A.3.b
Mont Mallet		45.865778	6.96142	45.865778,6.96142	3500	3988	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Catena Rochefort-Grandes Jorasses-Leschaux > Gruppo di Rochefort	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Catena Rochefort-Grandes Jorasses-Leschaux	Gruppo di Rochefort	I/B-7.V-B.4.a/b
Punta Budden (Alpi Pennine)		45.934447	7.58601	45.934447,7.58601	3500	3630	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Weisshorn e del Cervino > Catena Bouquetins-Cervino > Gruppo Dents d'Hérens-Cervino > Sottogruppo delle Grandes et Petites Murailles	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Weisshorn e del Cervino	Catena Bouquetins-Cervino	Gruppo Dents d'Hérens-Cervino	Sottogruppo delle Grandes et Petites Murailles	I/B-9.II-A.2.c
Punta Roma		44.689611	7.075639	44.689611,7.075639	3000	3070	Alpi Occidentali > Alpi Sud-occidentali > Alpi Cozie > Alpi del Monviso > Gruppo del Monviso > Gruppo del Monvisopropriamente detto > Nodo del Monviso	Alpi Occidentali	Alpi Sud-occidentali	Alpi Cozie	Alpi del Monviso	Gruppo del Monviso	Gruppo del Monvisopropriamente detto	Nodo del Monviso	I/A-4.I-C.8.a
Punta Udine		44.697072	7.074047	44.697072,7.074047	3000	3022	Alpi Occidentali > Alpi Sud-occidentali > Alpi Cozie > Alpi del Monviso > Gruppo del Monviso > Gruppo del Monvisopropriamente detto > Nodo del Monviso	Alpi Occidentali	Alpi Sud-occidentali	Alpi Cozie	Alpi del Monviso	Gruppo del Monviso	Gruppo del Monvisopropriamente detto	Nodo del Monviso	I/A-4.I-C.8.a
Škrlatica		46.4333	13.8167	46.4333,13.8167	2500	2740	Alpi Orientali > Alpi Sud-orientali > Alpi e Prealpi Giulie > Alpi Giulie > Catena della Škrlatica > Gruppo della Škrlatica > Nodo della Škrlatica	Alpi Orientali	Alpi Sud-orientali	Alpi e Prealpi Giulie	Alpi Giulie	Catena della Škrlatica	Gruppo della Škrlatica	Nodo della Škrlatica	II/C-34.I-D.7.a
Trisselwand		47.646068	13.813441	47.646068,13.813441	1500	1754	Alpi Orientali > Alpi Nord-orientali > Alpi del Salzkammergut e dell'Alta Austria > Monti Totes >  > 	Alpi Orientali	Alpi Nord-orientali	Alpi del Salzkammergut e dell'Alta Austria	Monti Totes				II/B-25.III
Vetta d'Italia		47.091111	12.180556	47.091111,12.180556	2500	2912	Alpi Orientali > Alpi Centro-orientali > Alpi dei Tauri occidentali > Alpi della Zillertal > Gruppo del Reichenspitze > Catena Reichenspitze-Vetta d'Italia > Massiccio della Vetta d'Italia	Alpi Orientali	Alpi Centro-orientali	Alpi dei Tauri occidentali	Alpi della Zillertal	Gruppo del Reichenspitze	Catena Reichenspitze-Vetta d'Italia	Massiccio della Vetta d'Italia	II/A-17.I-D.8.b
Levanna Centrale		45.41055	7.17195	45.41055,7.17195	3500	3619	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi di Lanzo e dell'Alta Moriana > Catena Levanne-Aiguille Rousse > Gruppo delle Levanne > Nodo delle Levanne	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi di Lanzo e dell'Alta Moriana	Catena Levanne-Aiguille Rousse	Gruppo delle Levanne	Nodo delle Levanne	I/B-7.I-C.8.a
Monte Agner		46.27709	11.95433	46.27709,11.95433	2500	2872	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Feltre e delle Pale di San Martino > Gruppo Pale di San Martino-Feruc > Gruppo delle Pale di San Martino > Sottogruppo dell'Agner	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Feltre e delle Pale di San Martino	Gruppo Pale di San Martino-Feruc	Gruppo delle Pale di San Martino	Sottogruppo dell'Agner	II/C-31.IV-A.1.t
Torre del Gran San Pietro		45.525953	7.358859	45.525953,7.358859	3500	3692	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Massiccio del Gran Paradiso > Gruppo Gran Paradiso > Gruppo Roccia Viva-Apostoli	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Massiccio del Gran Paradiso	Gruppo Gran Paradiso	Gruppo Roccia Viva-Apostoli	I/B-7.IV-A.2.b
Waxenstein		47.4475	11.022778	47.4475,11.022778	2000	2227	Alpi Orientali > Alpi Nord-orientali > Alpi Calcaree Nordtirolesi > Monti di Mieming e del Wetterstein > Monti del Wetterstein > Catena dello Zugspitze > Massiccio del Waxenstein	Alpi Orientali	Alpi Nord-orientali	Alpi Calcaree Nordtirolesi	Monti di Mieming e del Wetterstein	Monti del Wetterstein	Catena dello Zugspitze	Massiccio del Waxenstein	II/B-21.III-B.4.c
Pizzo d'Andolla		46.10091	8.03478	46.10091,8.03478	3500	3656	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Mischabel e del Weissmies > Catena dell'Andolla > Gruppo Antigine-Bottarello-Andolla > Gruppo del Pizzo d'Andolla	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Mischabel e del Weissmies	Catena dell'Andolla	Gruppo Antigine-Bottarello-Andolla	Gruppo del Pizzo d'Andolla	I/B-9.V-B.4.e
Dente del Gigante		45.861944	6.951667	45.861944,6.951667	4000	4014	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Catena Rochefort-Grandes Jorasses-Leschaux > Gruppo di Rochefort	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Catena Rochefort-Grandes Jorasses-Leschaux	Gruppo di Rochefort	I/B-7.V-B.4.a/a
Viso di Vallanta		44.666325	7.088008	44.666325,7.088008	3500	3781	Alpi Occidentali > Alpi Sud-occidentali > Alpi Cozie > Alpi del Monviso > Gruppo del Monviso > Gruppo del Monvisopropriamente detto > Nodo del Monviso	Alpi Occidentali	Alpi Sud-occidentali	Alpi Cozie	Alpi del Monviso	Gruppo del Monviso	Gruppo del Monvisopropriamente detto	Nodo del Monviso	I/A-4.I-C.8.a
Nadelhorn		46.108889	7.863889	46.108889,7.863889	4000	4327	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Mischabel e del Weissmies > Massiccio del Mischabel > Catena del Mischabel	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Mischabel e del Weissmies	Massiccio del Mischabel	Catena del Mischabel		I/B-9.V-A.2
Levanne		45.406111	7.184444	45.406111,7.184444	3500	3619	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi di Lanzo e dell'Alta Moriana > Catena Levanne-Aiguille Rousse > Gruppo delle Levanne > Nodo delle Levanne	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi di Lanzo e dell'Alta Moriana	Catena Levanne-Aiguille Rousse	Gruppo delle Levanne	Nodo delle Levanne	I/B-7.I-C.8.a
Mont Aiguille		44.842025	5.55251	44.842025,5.55251	2000	2087	Alpi Occidentali > Alpi Sud-occidentali > Prealpi del Delfinato > Prealpi del Vercors > Catena Grand Veymont-Lans-Charande > Gruppo del Mont Aiguille > Cresta Mont Aiguille-Montagnette	Alpi Occidentali	Alpi Sud-occidentali	Prealpi del Delfinato	Prealpi del Vercors	Catena Grand Veymont-Lans-Charande	Gruppo del Mont Aiguille	Cresta Mont Aiguille-Montagnette	I/A-6.III-A.1.b
Carè Alto		46.108056	10.596111	46.108056,10.596111	3000	3465	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Alpi dell'Adamello e della Presanella > Gruppo dell'Adamello > Catena Carè Alto-Breguzzo > Gruppo del Carè Alto	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Alpi dell'Adamello e della Presanella	Gruppo dell'Adamello	Catena Carè Alto-Breguzzo	Gruppo del Carè Alto	II/C-28.III-A.3.a
Aiguille du Goûter		45.850556	6.831111	45.850556,6.831111	3500	3863	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Gruppo del Monte Bianco > Gruppo Bionnassay-Goûter	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Gruppo del Monte Bianco	Gruppo Bionnassay-Goûter	I/B-7.V-B.2.a
Aiguille du Jardin		45.933889	6.975833	45.933889,6.975833	4000	4035	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Catena dell'Aiguille Verte > Gruppo Aiguille Verte-Aiguilles du Dru	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Catena dell'Aiguille Verte	Gruppo Aiguille Verte-Aiguilles du Dru	I/B-7.V-B.5.c/a
Brana (monte)		46.354906	14.587556	46.354906,14.587556	2000	2259	Alpi Orientali > Alpi Sud-orientali > Alpi di Carinzia e di Slovenia > Alpi di Kamnik e della Savinja >  > 	Alpi Orientali	Alpi Sud-orientali	Alpi di Carinzia e di Slovenia	Alpi di Kamnik e della Savinja				
Äbeni Flue		46.507968	7.953598	46.507968,7.953598	3500	3961	Alpi Occidentali > Alpi Nord-occidentali > Alpi Bernesi > Alpi Bernesiin senso stretto > Catena Gletscherhorn-Blümlisalp-Balmhorn > Gruppo Gletscherhorn-Hockenhorn > Gruppo Gletscherhorn-Mittaghorn	Alpi Occidentali	Alpi Nord-occidentali	Alpi Bernesi	Alpi Bernesiin senso stretto	Catena Gletscherhorn-Blümlisalp-Balmhorn	Gruppo Gletscherhorn-Hockenhorn	Gruppo Gletscherhorn-Mittaghorn	I/B-12.II-D.9.a
Cima Falkner		46.193546	10.904601	46.193546,10.904601	2500	2999	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Dolomiti di Brenta > Gruppo di Brenta e della Paganella > Gruppo di Brenta > Massiccio del Grostè	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Dolomiti di Brenta	Gruppo di Brenta e della Paganella	Gruppo di Brenta	Massiccio del Grostè	II/C-28.IV-A.1.a
Monte Razor		46.411893	13.79174	46.411893,13.79174	2500	2601	Alpi Orientali > Alpi Sud-orientali > Alpi e Prealpi Giulie > Alpi Giulie > Catena della Škrlatica > Gruppo Prisank-Razor	Alpi Orientali	Alpi Sud-orientali	Alpi e Prealpi Giulie	Alpi Giulie	Catena della Škrlatica	Gruppo Prisank-Razor		II/C-34.I-D.6
Monte Sernio		46.474635	13.13913	46.474635,13.13913	2000	2187	Alpi Orientali > Alpi Sud-orientali > Alpi Carniche e della Gail > Alpi Carniche > Alpi Tolmezzine Orientali > Gruppo Sernio-Grauzaria > Dorsale Sernio-Palasecca	Alpi Orientali	Alpi Sud-orientali	Alpi Carniche e della Gail	Alpi Carniche	Alpi Tolmezzine Orientali	Gruppo Sernio-Grauzaria	Dorsale Sernio-Palasecca	II/C-33.I-D.13.b
Monte Tullen		46.653993	11.774043	46.653993,11.774043	2500	2654	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Gardena e di Fassa > Dolomiti di Gardena > Gruppo Plose-Putia > Odle di Eores	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Gardena e di Fassa	Dolomiti di Gardena	Gruppo Plose-Putia	Odle di Eores	II/C-31.III-A.6.a/a
Muntanitz		47.073611	12.588889	47.073611,12.588889	3000	3232	Alpi Orientali > Alpi Centro-orientali > Alpi dei Tauri occidentali > Alti Tauri > Gruppo del Granatspitze > Gruppo Muntanitz-Kendlspitze > Costiera del Muntanitz	Alpi Orientali	Alpi Centro-orientali	Alpi dei Tauri occidentali	Alti Tauri	Gruppo del Granatspitze	Gruppo Muntanitz-Kendlspitze	Costiera del Muntanitz	II/A-17.II-B.5.a
Pic Gaspard		44.998333	6.330833	44.998333,6.330833	3500	3881	Alpi Occidentali > Alpi Sud-occidentali > Alpi del Delfinato > Massiccio des Écrins > Catena Meije-Râteau-Soreiller > Gruppo della Meije > Nodo del Pic Gaspard	Alpi Occidentali	Alpi Sud-occidentali	Alpi del Delfinato	Massiccio des Écrins	Catena Meije-Râteau-Soreiller	Gruppo della Meije	Nodo del Pic Gaspard	I/A-5.III-B.7.a
Puitkogel		46.981394	10.901434	46.981394,10.901434	3000	3345	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche orientali > Alpi Venoste > Alpi Venoste del Nord > Geigenkamm	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche orientali	Alpi Venoste	Alpi Venoste del Nord	Geigenkamm		II/A-16.I-C.9
Punta Basei		45.4753	7.11467	45.4753,7.11467	3000	3338	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi della Grande Sassière e del Rutor > Catena Grande Sassière-Tsanteleina > Costiera Galisia-Entrelor-Bioula	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi della Grande Sassière e del Rutor	Catena Grande Sassière-Tsanteleina	Costiera Galisia-Entrelor-Bioula		I/A-7.III-A.1
Punta dei Cors		45.94995	7.60144	45.94995,7.60144	3500	3849	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Weisshorn e del Cervino > Catena Bouquetins-Cervino > Gruppo Dents d'Hérens-Cervino > Sottogruppo delle Grandes et Petites Murailles	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Weisshorn e del Cervino	Catena Bouquetins-Cervino	Gruppo Dents d'Hérens-Cervino	Sottogruppo delle Grandes et Petites Murailles	I/B-9.II-A.2.c
Punta di Ceresole		45.513056	7.285278	45.513056,7.285278	3500	3777	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Massiccio del Gran Paradiso > Gruppo Gran Paradiso-Roccia Viva > Gruppo del Gran Paradiso	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Massiccio del Gran Paradiso	Gruppo Gran Paradiso-Roccia Viva	Gruppo del Gran Paradiso	I/B-7.IV-A.2.a
Punta Grober		45.922176	7.921801	45.922176,7.921801	3000	3497	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Monte Rosa > Contrafforti valsesiani del Monte Rosa > Costiera Punta Grober-Tagliaferro-Montevecchio > Sottogruppo della Punta Grober	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Monte Rosa	Contrafforti valsesiani del Monte Rosa	Costiera Punta Grober-Tagliaferro-Montevecchio	Sottogruppo della Punta Grober	I/B-9.III-C.7.a
Punta Innominata		45.816508	6.876318	45.816508,6.876318	3500	3730	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Gruppo del Monte Bianco > Contrafforti italiani del Monte Bianco	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Gruppo del Monte Bianco	Contrafforti italiani del Monte Bianco	I/B-7.V-B.2.c/c
Punta Malta		44.636667	7.104111	44.636667,7.104111	2500	2995	Alpi Occidentali > Alpi Sud-occidentali > Alpi Cozie > Alpi del Monviso > Gruppo del Monviso > Gruppo del Monvisopropriamente detto > Costiera Lobbie-Rasciassa-Garitta Nuova	Alpi Occidentali	Alpi Sud-occidentali	Alpi Cozie	Alpi del Monviso	Gruppo del Monviso	Gruppo del Monvisopropriamente detto	Costiera Lobbie-Rasciassa-Garitta Nuova	I/A-4.I-C.8.b
Roccia Viva (montagna)		45.519167	7.33	45.519167,7.33	3500	3650	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Massiccio del Gran Paradiso > Gruppo Gran Paradiso-Roccia Viva > Gruppo Roccia Viva-Apostoli	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Massiccio del Gran Paradiso	Gruppo Gran Paradiso-Roccia Viva	Gruppo Roccia Viva-Apostoli	I/B-7.IV-A.2.b
Torrone Alto		46.3461	9.0736	46.3461,9.0736	2500	2948	Alpi Occidentali > Alpi Nord-occidentali > Alpi Lepontine > Alpi dell'Adula > Gruppo dell'Adula > Gruppo Fraciòn-Torrone Alto > Costiera del Torrone Alto	Alpi Occidentali	Alpi Nord-occidentali	Alpi Lepontine	Alpi dell'Adula	Gruppo dell'Adula	Gruppo Fraciòn-Torrone Alto	Costiera del Torrone Alto	I/B-10.III-B.6.b
Wetterhorn		46.638623	8.11537	46.638623,8.11537	3500	3690	Alpi Occidentali > Alpi Nord-occidentali > Alpi Bernesi > Alpi Bernesiin senso stretto > Catena Schreckhorn-Wetterhorn > Gruppo del Wetterhorn > Massiccio del Wetterhorn	Alpi Occidentali	Alpi Nord-occidentali	Alpi Bernesi	Alpi Bernesiin senso stretto	Catena Schreckhorn-Wetterhorn	Gruppo del Wetterhorn	Massiccio del Wetterhorn	I/B-12.II-C.7.a
Becca di Monciair		45.484838	7.23582	45.484838,7.23582	3500	3544	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Massiccio del Gran Paradiso > Gruppo Ciarforon-Punta Fourà	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Massiccio del Gran Paradiso	Gruppo Ciarforon-Punta Fourà		I/B-7.IV-A.1
Aiguille de la Tsa		46.021389	7.522222	46.021389,7.522222	3500	3668	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Weisshorn e del Cervino > Catena Bouquetins-Cervino > Gruppo Bouquetins-Mont Brulé > Sottogruppo dei Bouquetins	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Weisshorn e del Cervino	Catena Bouquetins-Cervino	Gruppo Bouquetins-Mont Brulé	Sottogruppo dei Bouquetins	I/B-9.II-A.1.b
Monte Sautron		44.488078	6.877117	44.488078,6.877117	3000	3166	Alpi Occidentali > Alpi Sud-occidentali > Alpi Cozie > Alpi del Monviso > Gruppo del Chambeyron > Gruppo del Chambeyronpropriamente detto > Cresta Monte Sautron-Monte Chambeyron	Alpi Occidentali	Alpi Sud-occidentali	Alpi Cozie	Alpi del Monviso	Gruppo del Chambeyron	Gruppo del Chambeyronpropriamente detto	Cresta Monte Sautron-Monte Chambeyron	I/A-4.I-A.1.b
Ojstrica		46.364167	14.637222	46.364167,14.637222	2000	2350	Alpi Orientali > Alpi Sud-orientali > Alpi di Carinzia e di Slovenia > Alpi di Kamnik e della Savinja >  > 	Alpi Orientali	Alpi Sud-orientali	Alpi di Carinzia e di Slovenia	Alpi di Kamnik e della Savinja				
Schrankogel		47.044722	11.099167	47.044722,11.099167	3000	3496	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche orientali > Alpi dello Stubai > Alpi dello Stubai del Nord > Gruppo dello Schrankogel > Gruppo Schrankogel-Ruderhofspitze	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche orientali	Alpi dello Stubai	Alpi dello Stubai del Nord	Gruppo dello Schrankogel	Gruppo Schrankogel-Ruderhofspitze	II/A-16.II-B.3.a
Trifthorn		46.051528	7.678333	46.051528,7.678333	3500	3728	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Weisshorn e del Cervino > Catena Weisshorn-Zinalrothorn > Gruppo Galbelhörner-Zinalrothorn	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Weisshorn e del Cervino	Catena Weisshorn-Zinalrothorn	Gruppo Galbelhörner-Zinalrothorn		I/B-9.II-D.7
Altels		46.42895	7.67861	46.42895,7.67861	3500	3630	Alpi Occidentali > Alpi Nord-occidentali > Alpi Bernesi > Alpi Bernesi in senso stretto > Catena Gletscherhorn-Blümlisalp-Balmhorn > Gruppo Balmhorn-Torrenthorn > Gruppo del Balmhorn	Alpi Occidentali	Alpi Nord-occidentali	Alpi Bernesi	Alpi Bernesi in senso stretto	Catena Gletscherhorn-Blümlisalp-Balmhorn	Gruppo Balmhorn-Torrenthorn	Gruppo del Balmhorn	I/B-12.II-D.11.b
Cima Altissima		46.765547	11.022203	46.765547,11.022203	3000	3480	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche orientali > Alpi Venoste > Alpi Venoste Orientali > Cresta di Senales > Nodo dell'Altissima	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche orientali	Alpi Venoste	Alpi Venoste Orientali	Cresta di Senales	Nodo dell'Altissima	II/A-16.I-A.5.e
Cima del Prete		46.966147	11.164162	46.966147,11.164162	3000	3458	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche orientali > Alpi dello Stubai > Alpi Breonie Occidentali > Gruppo di Ridanna > Gruppo del Pan di Zucchero i.s.a.	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche orientali	Alpi dello Stubai	Alpi Breonie Occidentali	Gruppo di Ridanna	Gruppo del Pan di Zucchero i.s.a.	II/A-16.II-A.1.a/b
Ruderhofspitze		47.039422	11.143563	47.039422,11.143563	3000	3474	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche orientali > Alpi dello Stubai > Alpi dello Stubai del Nord > Gruppo dello Schrankogel > Gruppo Schrankogel-Ruderhofspitze	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche orientali	Alpi dello Stubai	Alpi dello Stubai del Nord	Gruppo dello Schrankogel	Gruppo Schrankogel-Ruderhofspitze	II/A-16. II-B.3.a
